Afkorting,Betekenis(sen)
ADD,Attention Deficit Disorder
adh,Aanbevolen dagelijkse hoeveelheid
ADHD,attention deficit hyperactivity disorder
a.d.h.v.,aan de hand van
adj.,adjunct
Adj.,Adjudant
a.d.o.,alles door oefening
ADL,algemene dagelijkse levensverrichtingen
ADSL,asymmetric digital subscriber line
AE,aanhoudingseenheid
AED,automatische externe defibrillator
AEX,Amsterdam Exchange Index
AF,Air France
afb.,afbeelding
afd.,afdeling
afk.,afkorting
afk,away from keyboard (gamingwereldterm)
AFM,Autoriteit Financiële Markten
afz.,afzender
AG,Anonieme Gokkers
a.g.v.,als gevolg van
AH,Albert Heijn
ahob,automatische halve overwegbomen
a.h.w.,als het ware
AI,Artificiële Intelligentie; Amnesty International; Apneu-index; Adequaat niveau van inneming
a.i.,ad interim
aids,acquired immune deficiency syndrome
aio,assistent in opleiding/(basis)arts in opleiding
AIOS,"AIOS, Arts in opleiding tot specialist"
Airbnb,"Airbnb, Airbed and Breakfast (luchtbed en ontbijt)"
airco,airconditioning
AIV,Adviesraad Internationale Vraagstukken
AIVD /ai-&vd,Algemene Inlichtingen- en Veiligheidsdienst
AJ,Al Jazeera
aki,automatische knipperlichtinstallatie
AKI,AKI ArtEZ Academie voor Art & Design
AKKV,"Algemeen Kristelijk Kunstenaarsverbond, voorheen Algemene Katholieke Kunstenaars-Vereniging"
akw,algemene kinderbijslagwet
Al,aluminium
AL,Alle leeftijden
Aldel,Aluminium Delfzijl
alg.,algemeen
ALS,amyotrofe laterale sclerose; Alliantie voor Leerkrachten in Suriname
ALV,algemene ledenvergadering (veel gebruikt bij verenigingen)
AM,amplitudemodulatie
a.m.,ante meridiem (voor middag)
ama,alleenstaande minderjarige asielzoeker
AMOLF,"AMOLF, Atoom- en Molecuulfysica (een instituut ressorterend onder NWO)"
Amref,African Medical & Research Foundation
AMRO,"Amsterdam-Rotterdam Bank, AMRO Bank"
AMvB,algemene maatregel van bestuur
AN,Anorexia nervosa
anbi,algemeen nut beogende instelling
ANBO,Algemene Nederlandse Bond Ouderen
ANP,Algemeen Nederlands Persbureau
ANT,provincie Antwerpen
ANVR,Algemene Nederlandse Vereniging Reisbureaus
anw,algemene nabestaandenwet; algemene natuurwetenschappen
anwb,Koninklijke Nederlandse Toeristenbond ANWB (algemene wielrijdersbond)
Ao,Anno (in het jaar)
AO,Anonieme Overeters
aov,algemene ouderdomsverzekering; Algemeen Ouderen Verbond; Arbeidsongeschiktheidsverzekering voor zelfstandigen
AOW,Algemene Ouderdomswet
ap,Autoriteit Persoonsgegevens
AP,Amsterdams Peil; Associated Press
A.P.,anno passato (in het afgelopen jaar)
apg,algemene pensioengroep
apk,algemene periodieke keuring; aanpassingsklas
appa,algemene pensioenwet politieke ambtsdragers
apv,algemene plaatselijke verordening/algemene politie-verordening;
AQ,Autismespectrumquotiënt
AR,Aangevulde realiteit (Augmented Reality)
"arbo. (-wet, ...)","arbeidsomstandigheden (-wet, -regeling, ...) in Nederland"
AREI,Algemeen Reglement Elektrische Installaties
ARP,Anti-Revolutionaire Partij
art.,artikel
a.s.,aanstaande
ASCII,American Standard Code Information Interchange
ASEAN,Association Southeast Asian Nations
a.s.o./aso,algemeen secundair onderwijs
AT,Arrestatieteam
ATB,All Terrain Bike (terreinfiets); Automatische treinbeïnvloeding
Atm.,atmosfeer / atmosferen
ATP,Association of Tennis Professionals
atv,arbeidstijdverkorting
a.u.b.,alstublieft (als 't u belieft)
AV,Atletiek Vereniging
AVG,Algemene verordening gegevensbescherming
AVL,Antoni van Leeuwenhoekziekenhuis
avrotros,"AVRO (algemene vereniging radio-omroep) /TROS (Televisie Radio Omroep Stichting), AVROTROS"
a.w.,"(in het) aangehaald werk (bij opgeven van een bron, bijvoorbeeld ""zie Reitsma, a.w."" om herhaling van de vermelding van een boek te voorkomen)"
AW,Anderwijs
AWBZ,Algemene Wet Bijzondere Ziektekosten
AWVN,Algemene Werkgeversvereniging Nederland (AWVN)
AWW,Algemene Weduwen- en Wezenwet
AZ,Academisch Ziekenhuis; Alkmaar Zaanstreek
azc,asielzoekerscentrum
AZL,"Academisch Ziekenhuis Leiden, thans Leids Universitair Medisch Centrum (LUMC)"
AzN,Ambulancezorg Nederland
B,bas (muziek)
b.a.,bij afwezigheid
BA,Bachelor of Arts; Burgerlijke Aansprakelijkheid
Bac,"Belgische arbeiderscoöperatie = nu Belfius, nv van publiekelijk recht"
BAG,Basisregistraties Adressen en Gebouwen
BAM,Bataafsche AannemingsMaatschappij (thans Koninklijke BAM Groep)
BAS,Bachelor Applied Science
BASF,Badische Anilin- & Soda-Fabrik / Badense Aniline- & Soda-Fabriek
BASIC,Beginners All-purpose Symbolic Instruction Code
BAT,British American Tobacco
BAZ,"Beelden aan Zee, een museum in Scheveningen"
BB,Bescherming Bevolking
B.B.,Bakboord
BBA,Brabantsche Buurtspoorwegen en Autodiensten
BBB,bed-bad-brood (bed-bad-broodregeling); BoerBurgerBeweging
BBC,British Broadcasting Corporation
bbe,bijzondere bijstandseenheid
b.b.h.h.,bezigheden buitenshuis hebbende
BBK,Beroepsvereniging van Beeldende Kunstenaars
bbp,bruto binnenlands product
bbs,bulletin board system
BBW,Beroepsvereniging Bewindvoerders Wsnp
BC,Before Christ (voor Christus)
bcc,blind carbon copy
BCN,Business Centre Nederland
b.d.,buiten dienst
BDO,"Binder Dijker Otte & Co, accountants- en adviesorganisatie"
B en W,Burgemeester en Wethouders
BEL,België
Benelux,"België, Nederland, Luxemburg"
BeLux,"België, Luxemburg"
BES,"Bonaire, Eustatius, Saba"
betr.,betreft
bez.vnw.,bezittelijk voornaamwoord
bga,beschermde geografische aanduiding
bgc,bankgirocentrale
b.g.g.,bij geen gehoor
BGT,Basisregistratie Grootschalige Topografie
bh,bustehouder
bhv,bedrijfshulpverlening
BHV,Brussel-Halle-Vilvoorde
BI,Bureau Inlichtingen
bibl.,bibliotheek
BIC,Bank Identifier Code
BIG,Beroepen in de Individuele Gezondheidszorg
bijl.,bijlage
bijv.,bijvoorbeeld
bijz.,bijzonder
BIK,Baangerelateerde investeringskorting
bila,bilateraal overleg
BIOS,basic input/output system
bit,binary digit
BK,Belgisch Kampioen; Belgisch Kampioenschap; Belgische Kampioenschappen
BKR,Beeldende Kunstenaars Regeling; Bureau Kredietregistratie
BLEU,Belgisch-Luxemburgse Economische Unie
blz. / blzz,bladzijde / bladzijden
BMI,body mass index
BMKB,Borgstelling MKB-kredieten (Borgstelling Midden- en Klein Bedrijf-kredieten)
BMW,Bayrische Motor Werke
BMX,Bicycle Motocross
BN,bekende Nederlander
BNA,Bond van Nederlandse Architecten; Branchevereniging voor Nederlandse Architectenbureaus
BNI,Beroepsvereniging Nederlandse Interieurarchitecten
BNN,"Bart's Neverending Network, aanvankelijk: Bart News Network"
BNSP,Beroepsvereniging van Nederlandse Stedebouwkundigen en Planologen
BNT,Bond van Nederlandse Tuin- en Landschapsarchitecten
bnp,bruto nationaal product
bnw.,bijvoeglijk naamwoord
boa,buitengewoon opsporingsambtenaar
bob,beschermde oorsprongsbenaming
bom,bewust ongehuwde moeder
BON,vereniging Beter Onderwijs Nederland
Bopz,"Wet bijzondere opnemingen in psychiatrische ziekenhuizen, 1994-2019"
BOVAG,Bond van automobielhandelaren en garagehouders
BOSK,Bond van Ouders van Spastische Kinderen
BPM,Belasting van personenauto's en motorrijwielen; Bataafse Petroleum Maatschappij
bps,beelden per seconde
br.,broeder
BR,Baanrecord; Belgisch record
BRMO,Bijzonder Resistente Micro-Organismen
BROEM,Breed Overleg Ouderen en Mobiliteit
BRP,Basisregistratie Personen
BRT,Belgische Radio en Televisie; Bruto Register Ton
BSc,Baccalaureus Scientiae
BSE,boviene spongiforme encefalopathie of gekkekoeienziekte; bloedbezinkingssnelheid
bsn,burgerservicenummer
bso,beroepssecundair onderwijs; buitenschoolse opvang
btw,belasting over de toegevoegde waarde; by the way
buma,bureau muziekauteursrechten
BuZa,(ministerie van) Buitenlandse Zaken
bv.,bijvoorbeeld
bv,besloten vennootschap
b.v.d.,bij voorbaat dank
BVD,Binnenlandse Veiligheidsdienst
bvl,beroepsvoorbereidend leerjaar
BVLL,Branchevereniging van Verantwoordelijke Lachgas Leveranciers
bw.,bijwoord
BW,Burgerlijk Wetboek
B&W,Burgemeester & Wethouders
BWV,Bijzondere wetenschappelijke vorming; Bach-Werke-Verzeichnis
BXL,Brussel
b.z.a.,biedt zich aan
©,Copyright
C,Celsius (°C = graad Celsius); coulomb
C&A,Clemens & August
C7,Common Channel Signalling System nr. 7
ca,centiare
ca.,circa
c.a.,cum annexis
cado,calamiteitendoorsteek
cai,centrale antenne-inrichting
cal,calorie
CALO,Christelijke Academie voor Lichamelijke Opvoeding
cao,collectieve arbeidsovereenkomst
cara,chronische aspecifieke respiratoire aandoeningen
cat.,catalogus
CBD,Commissie Biotechnologie bij Dieren; Centraal Bureau Drogisterijbedrijven; Central business district; Cannabidiol
CBF,Centraal Bureau Fondsenwerving
CBFA,"Commissie voor het Bank-, Financie- en Assurantiewezen"
CBG,College ter Beoordeling van Geneesmiddelen; Centraal Bureau voor Genealogie
CBP,College voor Bescherming Persoonsgegevens
CBR,Centraal Bureau Rijvaardigheidsbewijzen; Constant Bit-Rate
CBS,"Centraal Bureau voor de Statistiek, christelijke basisschool"
CBTB,Christelijke Boeren- en Tuindersbond
CC,Corps Consulaire
cc,"cubic centimetre; carbon copy, copy conform (NB: ondanks de huidige spelling van het woord kopie met een k.)"
CC0,Creative Commons zero verklaring
CCC,Centrale Cultuurtechnische Commissie †
CCMO,Centrale Commissie Mensgebonden Onderzoek
CCMS,Centraal College Medische Specialismen
CCS7,Common Channel Signalling System nr. 7
CCTV,China Central Television; closed-circuit television (zie cameratoezicht)
CCV,Centrum voor Criminaliteitspreventie en Veiligheid
cd,compact disc; candela
CD,Centrum Democraten; Corps Diplomatique; Cultuurtechnische Dienst †
CDA,Christen-Democratisch Appèl
CD&V,Christen-Democratisch en Vlaams
CEO,chief executive officer; Corporate Europe Observatory (lobbywaakhond)
CEST,Central European Summer Time
cf./cfr./conf,confer
cfk,chloorfluorkoolstofverbindingen
CFO,Chief Financial Officer
CGSO,Centrum Geboorteregeling en Seksuele Opvoeding
CHGS,Centrum Holocaust- en Genocidestudies
CHIO,Concours Hippique International Officiel
CHU,Christelijk-Historische Unie
c.i.,civiel ingenieur
CIA,Central Intelligence Agency
CIAM,Congrès Internationaux d'Architecture Moderne
CIb,Centrum Infectieziektebestrijding
CIDI,Centrum Informatie en Documentatie Israël
cie,criminele inlichtingeneenheid
CIOS,Centraal Instituut Opleiding Sportleiders
CIMS,Covid-19 vaccinatie Informatie- en Monitoringsysteem
CITo,Centraal Instituut voor Toetsontwikkeling
CIZ,Centrum Indicatiestelling Zorg
CJIB,Centraal Justitieel Incassobureau
cl of cL,centiliter
CKM,Centrum Kinderhandel Mensenhandel
CLAS,Commando Landstrijdkrachten
clsk,commando luchtstrijdkrachten
cm,centimeter
CMD,Communicatie & Multimedia Design
CMHF,Centrale v. Middelbaar en Hogere Functionarissen
CMT,Charcot-Marie-Tooth; Country Music Television
CNRS,Centre National de la Recherche Scientifique
CNV,Christelijk Nationaal Vakverbond
co,compagnon
COA,Centraal Orgaan opvang asielzoekers; Comité Olímpico Arubano
Cobra,"Copenhagen, Brussel, Amsterdam (kunstenaarsbeweging)"
COC,"Christelijke onderwijscentrale, Nederlandse Vereniging tot Integratie van Homoseksualiteit COC (oorspronkelijk: Cultuur- en Ontspanningscentrum)"
CoCo,Coördinatie Commissie voor Europese Integratie- en Associatieproblemen
codec,coder/decoder
Conamus,"Comité voor Nederlandse Amusementsmuziek, thans Stichting Buma Cultuur"
conf.,confer (↑)
COO,Chief Operations Officer
COPD,Chronic Obstructive Pulmonary Diseases
cos,cosinus
COVID-19,"COVID-19, coronavirus disease 2019"
COVRA,"COVRA, Centrale Organisatie Voor Radioactief Afval"
CP,Centrumpartij
CPB,Centraal Planbureau
CPBW,Comité voor Preventie en Bescherming op het Werk
CPN,Communistische Partij van Nederland
CPNB,Collectieve Propaganda van het Nederlandse Boek
CPU,central processing unit (in games vaak gebruikt om een computer gestuurde speler aan te duiden)
crm,customer relationship management
CRM,"Cultuur, Recreatie en Maatschappelijk Werk"
c.q.,casu quo
c.s.,cum suis
CS,Centraal station
CSAS,centrale-slaapapneusyndroom
CSFR,Civitas Studiosorum in Fundamento Reformato
CT,computertomografie
CTO,chief technical officer
CTR,Centraal Testamentenregister
cv,commanditaire vennootschap; coöperatieve vereniging; curriculum vitae; carnavalsvereniging; centrale verwarming
cvba,coöperatieve vennootschap met beperkte aansprakelijkheid
CvdK,Commissaris van de Koning
CvdM,Commissariaat voor de Media
cve,centrale verwerkingseenheid
CVSN,Centrum Veilige Sport Nederland
CVT,Continu variabele transmissie
CWI,"Centrum voor Werk en Inkomen, Commissie Wetenschappelijke Integriteit, Centrum Wiskunde & Informatica"
czs,centraal zenuwstelsel
C-ZSK,commandant Zeestrijdkrachten
D66,Democraten 66
DA,Drogisten Associatie
DAB,Digital Audio Broadcasting
DAC,Digitaal-Analoog Convertor; Derde Arbeidscircuit
DAF,Van Doorne’s Aanhangwagenfabriek N.V.
DB,Deutsche Bahn
dB,decibel
DBC,diagnosebehandelingcombinatie
DBNL,Digitale Bibliotheek voor de Nederlandse Letteren
D.C.,"Da Capo, muziekterm"
D.C.,"District of Columbia, Washington D.C., hoofdstad van de Verenigde Staten"
DCMR,Dienst Centraal Milieubeheer Rijnmond
d.d.,de dato (daterend van)
DE,Douwe Egberts
del.,delavit (achter een naam op een plaat; hij die dit heeft getekend)
DDR,Duitse Democratische Republiek;
DDOS,Distributed Denial of Service Attack
DDT,dichloordifenyltrichloorethaan (insecticide)
DEXA(-scan),Dual Energy X-ray Absorptiometry
DG,directeur-generaal
DGS,Depositogarantiestelsel
DHD,Dutch Hospital Data
DHL,"Postbedrijf, vernoemd naar de oprichters Dalsey, Hillblom en Lynn"
dhr.,de heer
DIDs,Decentralized identifiers (decentrale identificatoren)
DigiD,DigiD is een afkorting van Digitale Identiteit.
d.i.,dit is of dat is
DIMS,Drugs Informatie en Monitoring Systeem
DIN,Deutsches Institut für Normung
dir.,directeur
DIY,"Do-It-Yourself, doe het zelf"
dj,diskjockey
DJI,Dienst Justitiële Inrichtingen
dl of dL,deciliter
dm,decimeter
DMA,Digital Market Act
d.m.v.,door middel van
DNA,desoxyribonucleïnezuur
DNB,De Nederlandsche Bank
DOS,disk operating system; Door Oefening Sterk
DPCM,Differential PCM
Dpl,Dienstplichtige
DPOF,Digital Print Order Format
DR,Drenthe
dr.,doctor
drs.,doctorandus
ds.,dominee
D.S.,Dal Segno
DS'70,Democratisch Socialisten '70
DSA,Digital Services Act
DSI,Dienst Speciale Interventies
DSL,digital subscriber line
DSLAM,Digital Subscriber Line Access Multiplexer
DSM,Dutch State Mines
DSP,digitale signaalprocessor of Digital Signal Processing
dtp,desktoppublishing
DUO,Dienst Uitvoering Onderwijs
D.V.,Deo Volente
dvd,digital versatile disc
DVT,Diepveneuze trombose
DWDD,De wereld draait door (televisieprogramma)
d.w.z.,dat wil zeggen
e.a.,en andere(n) (ook et alii)
EAN,European Article Numbering (Europese artikelnummering)
EBIT,earnings before interest and tax
EBITDA,"Earnings Before Interest, Tax, Depreciation and Amortization"
EBT,earnings before tax
EBTL,Extra Begeleidings- en Toezicht Locatie (AZC)
EBWO,Europese Bank voor Wederopbouw en Ontwikkeling
e.c.,exempli causa (bijvoorbeeld)
EC,Europese Commissie
ECB,Europese Centrale Bank
ECD,"Economische Controledienst †, opgegaan in FIOD"
ecg,elektrocardiogram
ECPO,Evaluatie- en adviescommissie passend onderwijs
ECTS,European Credit Transfer Systeem (een systeem van studiepunten in het hoger onderwijs)
ed.,editie
e.d.,en dergelijke(n)
Edah,Ebben Dames Aukes Hettema † (supermarkt)
EDO,Ergst Denkbare Overstroming
EDON,"Energie-Distributiebedrijf Oost- en Noord-Nederland †, opgegaan in Essent"
Educom,"Stichting educatieve omroepcombinatie †, opgegaan in NTR"
e.e.a.,een en ander
eeg,elektro-encefalogram
EEG,"Europese Economische Gemeenschap, thans EU"
EER,Europese Economische Ruimte
EESC,Europees Economisch en Sociaal Comité
EEZ,Exclusieve Economische Zone
e.g.,exempli gratia (bijvoorbeeld)
EG,Europese Gemeenschap
EGKS,Europese Gemeenschap voor Kolen en Staal † (opgegaan in Europese Unie (EU))
EGM,Effectgerichte Maatregelen
EHBO,Eerste hulp bij ongelukken
e.i.,elektrotechnisch ingenieur
EHL,Economische Hogeschool Limburg; Euro Hockey League; Etty Hillesum Lyceum
EHS,Ecologische hoofdstructuur van Nederland
EIB,Economisch Instituut voor de Bouw
EK,Europees Kampioen; Europees kampioenschap; Europese kampioenschappen
EL,Europa League
ELO,Elektronische leeromgeving; Electric Light Orchestra
em.,emeritus (uitgediend; gepensioneerd of rustend hoogleraar of geestelijke)
emg,elektromyogram
EMM,Expertisecentrum Mensenhandel en Mensensmokkel
EMS,Europees Monetair Stelsel; Exploitatie Maatschappij Scheveningen †
EMU,Economische en Monetaire Unie
EMVA,economisch meest voordelige aanbieding
EMVI,economisch meest voordelige inschrijving
EN,Europese Norm; Enraf-Nonius
ENFB,Echte Nederlandse Fietsersbond
ENIAC,Electronic Numerical Integrator And Calculator
ENSIE,Eerste Nederlandse Systematisch Ingerichte Encyclopaedie
enz.,enzovoort
e.o.,en omstreken
EO,Evangelische Omroep
EOB,Europees Octrooibureau
EOCKL,Explosieven Opruimingscommando Koninklijke Landmacht
EOD,Explosieven Opruimingsdienst Defensie
EOM,Europees Openbaar Ministerie
EP,Europees Parlement
EPD,Elektronisch patiëntendossier
EPO,Erytropoëtine; European Patent Office (Europees Octrooibureau)
EPP,Erytropoëtische protoporfyrie (zonneschijn ziekte)
EPROM,Erasable Programmable Read Only Memory
ER,Europees record
ERP(S),Enterprise Resource Planning (System)
ESB,Economisch Statistische Berichten
et al.,et alii (en anderen)
etc.,et cetera
Etos,"Eendracht, Toewijding, Overleg en Samenwerking"
Ets2,Euro Truck Simulator 2
ETSI,European Telecommunication Standardisation Institute
ETW,Erftoegangsweg
EU,Europese Unie
EUIPO,Europees bureau voor Intellectuele Eigendom
EUR,euro
e.v.,en volgende(n); echtgenote van/echtgenoot van
EVA,Europese Vrijhandelsassociatie
e.v.a.,en vele andere(n)
EVC,Erkenning Verworven Competenties
evt.,eventueel
excl.,exclusief
exx.,exemplaren
EY,Ernst & Young
EZ,Ministerie van Economische Zaken (Nederland)
ƒ,florijn (gulden)
f,florijn (gulden)
F,farad
"₣, F, FF, FRF",Franse frank
f,forte
fa. of Fa.,firma
FAB,functioneel applicatiebeheer
fam.,familie
FAQ,Frequently Asked Questions (vaak gestelde vragen)
FAT,Field Acceptance Test; File Allocation Table
fax,telefacsimile
FB,"Franc Belge, Belgische frank"
FBI,Federal Bureau of Investigation
FC,Football Club (voetbalvereniging)
FDA,Food and Drug Administration
FEI,Fédération Équestre Internationale
"ff, fff","fortissimo, fortissimo possibile"
FF,"Fast Forward (audio/video: snel vooruit spoelen, vaak >>); Franse Frank"
FIAT,Fabbrica Italiana Automobili Torino
FIDE,Fédération Internationale des Échecs
FIFA,Fédération Internationale de Football Association
fig.,figuur(lijk)
FIOD,Fiscale Inlichtingen- en Opsporingsdienst
FIPS,Federal Information Processing Standard
FL,Flevoland
fl.,"florijn (gulden), floruit"
FLO,functioneel leeftijdsontslag
FM,Frequentiemodulatie
FMO,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden
FNV,Federatie Nederlandse Vakbeweging
FOB,Free On Board
FOCWA,Federatie van Ondernemers in de Carrosserie- en Wagenbouw en Aanverwante bedrijven
FOD,(Belgische) federale overheidsdienst
FR,Friesland
fr.,frank; franco (vrachtvrij)
FSV,Fraudesignaleringsvoorziening † (van de Belastingdienst)
ft,feet
FTD,Frontotemporale dementie
fte,fulltime-equivalent
FTP,File Transfer Protocol
fut.,futurum
FVD,Forum voor Democratie
"fz, ffz","forzato, forzatissimo"
g,gram
Ga,giga-annum; miljard (109) jaar (in de geologie en astronomie)
G.A.B.,Gewestelijk Arbeidsbureau
GAK,Gemeenschappelijk Administratiekantoor
GATT,General Agreement on Tariffs and Trade
GBKN,Grootschalige Basiskaart van Nederland
GD,Gelderland
g.d.,geen datum
GB,Groot-Brittannië; gigabyte
GBA,Gemeentelijke Basis Administratie;
GBP,Great-Britain Pound (Engelse Pond); Gastric bypass
GBS,Guillain-Barré Syndroom
GEB,Gemeentelijk energiebedrijf
geb.,geboren
Gebr.,Gebroeders
geh.,geheel; gehuwd
gem.,gemeente; gemiddeld;
get.,getekend; getuige
gez.,gezang; gezusters
GfK,Gesellschaft für Konsumforschung (Intomart GfK)
gft / GFT,"Groente-, fruit- en tuinafval"
gg,good game; goed gespeeld
GGA,Gemeentegiro Amsterdam
GGD,Gemeentelijke gezondheidsdienst
g.g.d.,grootste gemeenschappelijke deler
ggo,Genetisch Gemodificeerd Organisme
GGZ of GGz,Geestelijke gezondheidszorg
GHB,4-hydroxybutaanzuur (gamma-hydroxyboterzuur)
GHOR,Geneeskundige Hulpverleningsorganisatie in de Regio
GIS,Geografisch informatiesysteem
gld.,gulden
GLONASS,GLObal NAvigation Satellite System (Wereldwijd navigatie-satellietsysteem)
glw,"gas, licht en water"
GmbH,Gesellschaft mit beschränkter Haftung
GMT,Greenwich Mean Time
GO,Garantie Ondernemersfinanciering-regeling
GOC,Geüniformeerden Ontmoetings Centrum
GOW,Gebiedsontsluitingsweg
GPRS,General Packet Radio Service
gps,Global position system
GR,provincie Groningen
GS,Gedeputeerde Staten
GSM,Global System for Mobile Communications / Groupe Spéciale Mobile
GTS,Gegarandeerde traditionele specialiteit
GTST,"Goede tijden, slechte tijden (Nederlandse soapserie)"
GWK,Grenswisselkantoor
gym,gymnasium; gymnastiek
H,henry; Hospitaal; Hotel; helicopterlandingsplaats; Heerema Groep
H.,Heilige
ha,hectare
HaFaBra,"harmonie, fanfare en brassband"
HAFF,Holland Animation Film Festival (Utrecht)
HAI,provincie Henegouwen (Hainaut)
HAL,Holland-Amerika Lijn
havo,hoger algemeen voortgezet onderwijs
HAN,Hogeschool van Arnhem en Nijmegen
hbo,hoger beroepsonderwijs
hbs,hogereburgerschool
hd,high definition of hoge definitie
HDSL,High-speed Digital Subscriber Line
heao,hoger economisch en administratief onderwijs
HEMA,Hollandsche Eenheidsprijzen Maatschappij Amsterdam
HEO,Hoger Economisch Onderwijs
hfl,Hollandse florijn (gulden)
hg,hectogram
HHS,Haagse Hogeschool
hifi,High fidelity
hiv,humaan immunodeficiëntie virus
HIVA,"Hoger instituut voor de Arbeid, sinds 2009 Onderzoeksinstituut voor Arbeid en Samenleving"
H.K.H.,Hare Koninklijke Hoogheid
HKU,Hogeschool voor de Kunsten Utrecht
hl of hL,hectoliter
HLS,Heilig Land Stichting
H.M.,Hare Majesteit
HMSN,Hereditaire motorische en sensorische neuropathieën
HOBU,Hoger onderwijs buiten de universiteit
holebi,"homoseksueel, lesbisch, biseksueel"
horeca,"hotel, restaurant, café"
HP,Hewlett-Packard
HPV,Humaan papillomavirus
Hr.,Heer
Hr.Ms.,Harer Majesteits (wordt gevolgd door specifieke scheepsnaam)
H.R.,Hoge Raad; Handelsregister (België); Human Resources
hrm,Humanresourcemanagement
HS,"Hollands Spoor, hoofdstation"
hsl,hogesnelheidslijn
hsp,Hoogsensitief persoon
HSP,Hereditaire spastische paraparese
hst,hogesnelheidstrein (Engels: high-speed train)
HSV,Herpes simplexvirus; Herziene Statenvertaling
h.t.l.,hier te lande
HTM,Haagsche Tramweg-Maatschappij (openbaar vervoer Den Haag)
HTML,HyperText Markup Language
hts,hogere technische school
HTTP,HyperText Transfer Protocol
HTTPS,HyperText Transfer Protocol Secure
HVC,HVC Huisvuilcentrale
HWA,hemelwaterafvoer
HZ,Hogeschool Zeeland
Hz,hertz
Hzn.,Hendrikszoon
I&A,Informatisering en Automatisering
IAEA,Internationaal Atoomenergieagentschap
IATA,International Air Transport Association
i.a.v.,in aanwezigheid van; in afwachting van
i.a.w.,in andere woorden
IB,Inkomstenbelasting
IBAN,International Bank Account Number
i.b.d.,in buitengewone dienst (b.v. kamerheer van Koninklijk Huis)
ibs,inbewaringstelling
i.b.v.,in bezit van
ic,Intensive Care
IC,Integrated Circuit; Intercity
i.c.,in casu
ICAO,"Engels: International Civil Aviation Organization, Internationale Burgerluchtvaartorganisatie"
ICC,Internationale Kamer van Koophandel
ICE,In case of emergency; Intercity Express (treintype in Duitsland); Immigration and Customs Enforcement (politiedienst van US Departement of Homeland Security);
i.c.m.,in combinatie met
ICT,Informatie- en Communicatietechnologie; International Campaign for Tibet
id.,idem (hetzelfde)
ID-bewijs,identiteitsbewijs
idd,inderdaad
IDIL,"Informatie Dienst Inzake Lectuur, Informatiedienst Inzake Lectuur †"
IDFA,International Documentary Film Festival Amsterdam
i.e.,"id est (dat is, dat wil zeggen)"
IE,Internet Explorer
i.f.v.,in functie van (Belgisch)
IGM,Internationaal Grootmeester; ingame message
IGJ,Inspectie Gezondheidszorg en Jeugd
i.g.st.,in goede staat
i.g.v.,in geval van
IGZ,Inspectie voor de Gezondheidszorg
i.h.,in handen
i.h.a.,in het algemeen
i.h.b.,in het bijzonder
i.h.k.v.,in het kader van
i.h.t.v.,in het teken van
i.i.g.,in ieder geval
IKEA,Ingvar Kamprad Elmtaryd Agunaryd (naam en woonplaats van de oprichter van het bedrijf IKEA)
IKF,Internationale Korfbalfederatie
Ikon,Interkerkelijke Omroep Nederland
ILO,Instituut voor Lichamelijke Opvoeding; International Labour Organization (Internationale Arbeidsorganisatie)
ILT,Inspectie Leefomgeving en Transport
IMEI,International Mobile Equipment Identity
