Afkorting,Betekenis(sen)
HTTPS,HyperText Transfer Protocol Secure
Hz,hertz
IC,integrated circuit
ICMP,Internet Control Message Protocol
ICT,informatie- en communicatietechnologie
IE,Internet Explorer
IETF,Internet Engineering Task Force
IMEI,international mobile equipment identity
info,informatie
"IOT, IoT",Internet of Things
IP,internetprotocol
IRC,Internet Relay Chat
ISDN,integrated services digital network
ISO,International Organization for Standardization
IT,informatietechnologie
ITU,International Telecommunication Union
JDBC,Java DataBase Connectivity
JPEG,Joint Photographic Experts Group
JS,JavaScript
kB,kilobyte
kHz,kilohertz
kJ,kilojoule
kW,kilowatt
kWh,kilowattuur
LAN,local area network - netwerk tussen computers
lcd,liquid-crystal display
led,light-emitting diode
MAC,Media Access Control
Mac,Apple Macintosh
Mb,megabit
MB,megabyte (8 Mb)
Mbit (Mb),megabit
MER,Main Equipment Room
MHz,megahertz
modem,modulator-demodulator
MOSFET,metal-oxide semiconductor field-effect transistor
MPEG,Moving Picture Experts Group
MS,Microsoft
MSN,Microsoft Network
MTBF,Mean Time Between Failures
MTTR,Mean Time To Repair
NAK,negative acknowledgment; non-acknowledged
NAS,Network-attached storage
NCSC,Nationaal Cyber Security Centrum
nm,nanometer
NTP,Network Time Protocol
Ω,ohm
ODBC,Open DataBase Connectivity
OPTA,Onafhankelijke Post en Telecommunicatie Autoriteit
OS,operating system
OSI,Open Systems Interconnection
OSPF,Open Shortest Path First
PB,petabyte
pc,personal computer
PCM,pulscodemodulatie
PDF,portable document format
PE,Preinstalled Environment
PHP,PHP: Hypertext Preprocessor
PiB,pebibyte
pin,persoonlijk identificatienummer
pm,picometer
POP,post office protocol
POTS,Publicly Operated Telephony System
PRA,Primary Rate Access
PRBS,Pseudo Random Binary Sequence
PRI,Primary Rate Interface
PRIS,Parkeer Route Informatie Systeem
PSK,Phase Shift Keying
PSTN,Public Switched Telephone Network
P.T.T.,"Posterijen, Telegrafie, Telefonie"
PVC,permanent virtual channel; permanent virtual connection
QAM,Quadrature Amplitude Modulation
QoS,Quality of Service
QR,Quick Response (QR-code)
RADIUS,remote authentication dial-in user service
RAID,redundant array of independent disks; redundant array of inexpensive disks
RAM,random-access memory
RARP,reverse address resolution protocol
RC,radio control
RDF,Radio Direction Finder
RDS,radio data system
REKAM,Stichting Regionale Kabeltelevisie Midden-Holland
RGB,Rood-Groen-Blauw
RIP,Routing Information Protocol
ROM,read-only memory
RSA,"een encryptiealgoritme, ontworpen door Ron Rivest, Adi Shamir en Len Adleman"
RSI,Repetitive strain injury
RTC,Realtimeklok (Engels: real-time clock)
RTOS,realtimebesturingssysteem (Engels: real-time operating system)
s of sec,seconde
SAN,Storage area network
SCOR,Supply chain operations reference - model
SDH,synchronous digital hierarchy
SDI,Single Document Interface
SE,software engineering
SER,Satellite Equipment Room or Secondary Equipment Room
SI,Système International
SIS,Sociaal Informatiesysteem
SLA,service level agreement
SMB,Server Message Block
SMTP,Simple Mail Transfer Protocol
SNMP,Simple Network Management Protocol
SOA,service oriented architecture
Sogeti,Société pour la gestion de l'entreprise et traitement de l'information
SP2,Service Pack 2
SQL,Structured Query Language
SS,signaling system
SS7,Common Channel Signalling System nr. 7
SSO,Single sign-on
STP,Shielded Twisted Pair
SVC,switched virtual channel; switched virtual connection
Sysop,system operator
TAB,technisch applicatiebeheer
TAN-code,Transactie Autorisatie Nummer
TB,technisch beheer; terabyte
TCP,Transmission Control Protocol
TDI,Tabbed Document Interface
tel.,telefoon
tft,thin-film transistor
TiB,tebibyte
TMAP,Test Management Approach
tv,televisie
UBR,Unspecified Bit-Rate
UDP,User Datagram Protocol
UMA,Upper Memory Area
UMB,Upper Memory Blocks
UMTS,universal mobile telecommunications system
URL,uniform resource locator
USB,universal serial bus
UTP,Unshielded Twisted Pair
V,volt
VBA,Visual Basic for Applications
VBR,Variable Bit-Rate
VC,virtual channel; virtual connection
Veron,Vereniging voor Experimenteel Radio Onderzoek Nederland
VHDSL,Very High-speed Digital Subscriber Line
VIVO,Video In Video Out
VLAN,Virtual Local Area Network
VoIP,Voice over IP  (Voice over Internet Protocol)
VRZA,Vereniging van Radiozendamateurs
W,watt
WAN,wide area network
WLAN,wireless local area network
www,world-wide web
wysiwyg,What you see is what you get
XHTML,Extensible HyperText Markup Language
XML,Extensible Markup Language
ZB,zettabyte
