Afkorting,Betekenis(sen)
GBLT,Gemeenschappelijk Belastingkantoor Lococensus-Tricijn (NL)
HPW,Huurprijzenwet Woonruimte (NL)
Hvb,Huisvestingsbesluit (NL)
Hvw,Huisvestingswet (NL)
Hw,Huurwet (NL)
IB 2001,Wet inkomstenbelasting 2001 (NL)
IBES,"Invoeringswet openbare lichamen Bonaire, Sint Eustatius en Saba (2010) (NL)"
K.B.,Koninklijk Besluit
Lw,Leegstandswet (NL)
LW69,Leerplichtwet
Opw,Opiumwet
ozb,onroerendezaakbelasting (NL)
Pw,Pachtwet (NL)
RO,Wet op de rechterlijke organisatie (NL)
Rv,Wetboek van Burgerlijke Rechtsvordering (NL)
RWN,Rijkswet op het Nederlanderschap (NL)
StuFi,studiefinanciering (NL)
tbs,Terbeschikkingstelling (NL)
TOAH,Tijdelijk onderwijs aan huis
TOG,Tegemoetkoming ouders van thuiswonende gehandicapte kinderen
TSZ,Tegemoetkoming specifieke zorgkosten
UHW,Uitvoeringswet huurprijzen woonruimte (NL)
VUT,Vervroegde uittreding (NL)
Vpb 1969,Wet op de vennootschapsbelasting 1969 (NL)
W.A. of WA,Wettelijke aansprakelijkheid
WABM,Wet algemene bepalingen milieuhygiëne (1979-1993) (NL)
Wabo,Wet algemene bepalingen omgevingsrecht (2008) (NL)
Wajong,Wet werk en arbeidsondersteuning jonggehandicapten (NL)
Walvis,Wet administratieve lastenverlichting en vereenvoudiging in socialeverzekeringswetten (NL)
WAM,Wet aansprakelijkheidsverzekering motorrijtuigen (1963) (NL)
WAO,Wet op de arbeidsongeschiktheidsverzekering (1966) (NL)
WAT,Wet op de architectentitel (1987) (NL)
Waz,Wet arbeidsongeschiktheidsverzekering zelfstandigen (1997) (NL)
Wazo,Wet arbeid en zorg (2001) (NL)
Wbbbg,Wet buitengewone bevoegdheden burgerlijk gezag (1996) (NL)
WBO,Wet op het bevolkingsonderzoek
Wbp,Wet bescherming persoonsgegevens (NL)
WBSO,Wet Bevordering Speur- en Ontwikkelingswerk (NL)
WEB,Wet educatie en beroepsonderwijs (NL)
WER,Wetboek Economisch Recht
Wet MOT,Wet melding ongebruikelijke transacties (NL)
Wet WOZ,Wet waardering onroerende zaken (NL)
Wft,Wet op het financieel toezicht (NL)
WGR,Wet Gemeenschappelijke Regelingen (1950-1984) (NL)
Wgr,Wet gemeenschappelijke regelingen (1984-) (NL)
WHC,Wet op de Huurcommissies (NL)
WHV,Wet herverdeling wegenbeheer (1992) (NL)
WHW,Wet op het hoger onderwijs en wetenschappelijk onderzoek (1992) (NL)
WIA,Wet Werk en Inkomen naar Arbeidsvermogen (2005) (NL)
WION,Wet informatie-uitwisseling ondergrondse netten (2008) (NL)
Wiv 2002,Wet op de inlichtingen- en veiligheidsdiensten 2002 (NL)
Wiv 2017,Wet op de inlichtingen- en veiligheidsdiensten 2017 (NL)
WKA,Wet ketenaansprakelijkheid (NL)
WKCZ,Wet klachtrecht cliënten zorgsector (1995) (NL)
W.Kh.,Wetboek van Koophandel (BE)
Wlz,Wet langdurige zorg
WMO,Wet medisch-wetenschappelijk onderzoek met mensen (1998) (NL)
Wmo 2015,Wet maatschappelijke ondersteuning (2015) (NL)
WOB,Wet openbaarheid van bestuur (1980) (NL)
WOHV,Wet op het overleg huurders verhuurder (NL)
WolBES,"Wet openbare lichamen Bonaire, Sint Eustatius en Saba (2010) (NL)"
WOR,Wet op de ondernemingsraden (1971) (NL)
Wp2000,Wet personenvervoer 2000 (NL)
WRO,Wet op de Rechterlijke Ordening (1965-2008) (NL)
Wro,Wet ruimtelijke ordening (2008-) (NL)
Wsnp,Wet schuldsanering natuurlijke personen (1998-) (NL)
Wta,Wet toezicht accountantsorganisaties
WTU-BES,Wet toelating en uitzetting BES (2010) (NL)
Wvggz,Wet verplichte ggz (NL)
WVGS,Wet vervoer gevaarlijke stoffen (1995) (NL)
WvK,Wetboek van Koophandel (NL)
WVMK,Wet voorkoming misbruik chemicaliën (1995) (NL)
WvS,Wetboek van Strafrecht (ook: W.v.Str.; WvSr; Sr)
WVW,Wegenverkeerswet 1994 (NL)
Wonw,Woningwet (NL)
WW,Werkloosheidswet (1986) (NL)
Wwft,Wet ter voorkoming van witwassen en financieren van terrorisme
Wwik,Wet werk en inkomen kunstenaars (2004) (NL)
WWB,Wet werk en bijstand (2003) (NL)
WWM,Wet wapens en munitie
WWZ,Wet werk en zekerheid (NL)
Wzd,Wet zorg en dwang (NL)
ZFW,Ziekenfondswet (1964-2005) (NL)
ZW,Ziektewet (1913) (NL)
Zvw,Zorgverzekeringswet (2005) (NL)
