Afkorting,Betekenis(sen)
CKHL,Centraal Klinisch Hematologisch Laboratorium (LUMC)
CKS,Clinical Knowledge Summaries
CKZ,Centrum Klantervaring Zorg
CLA,conjugated linoleic acid (geconjugeerd linolzuur)
CLB,"Centraal Laboratorium van de Bloedtransfusiedienst van het Nederlandse Rode Kruis, in 1998 opgegaan in Sanquin"
CMC,carboxymethylcellulose (E466)
CMD,"craniomandibulaire disfunctie, het disfunctioneren van het kaakcomplex (zie ook: TMD)"
CMH,Centraal Militair Hospitaal
CMPH,Committee for Medicinal Products for Human Use (Comité voor geneesmiddelen voor humaan gebruik) (EMA)
CMR,"Carcinogenic, Mutagenic or toxic to Reproduction  (substances) / (kankerverwekkende, mutagene en/of voortplantingstoxische (stoffen))"
CMRO,chronische recurrente multifocale osteomyelitis
CMT,Charcot-Marie-Tooth
CMTC,cutis marmorata teleangiectatica congenita
CMV,"cytomegalovirus, ook wel cytomegalievirus"
COGEM,Commissie Genetische Modificatie
COPD,chronic obstructive pulmonary disease (COPD)
COVAX,COVID-19 Vaccines Global Access (COVAX)
COVID-19,coronavirus disease 2019 (COVID-19)
CPR,1. cardiopulmonale reanimatie; 2. cardiopulmonale resuscitatie
CPTSS,complexe posttraumatische stressstoornis
CPZ,Centrum voor Palliatieve Zorg
CRH,corticotropin-releasing hormone
CRISPR,Clustered Regularly Interspaced Short Palindromic Repeats (CRISPR)
CRPD,Convention on the Rights of Persons with Disabilities (VN-verdrag inzake rechten van personen met een handicap)
CREST,"CREST-syndroom: calcinosis, Raynaud's phenomenon, esophageal dysmotility, sclerodactyly and telangiectasia
(calcinose, Raynaudfenomeen, oesofagusdysmotiliteit, sclerodactylie/sclerodermie en teleangiëctasiën)"
CRS,congenitaal rubellasyndroom
CSAS,centrale slaapapneusyndroom
CSF,classical swine fever (klassieke varkenspest)
CSO,centrale spoedopvang (spoedeisende hulp) (> CSO-verpleegkundige)
C-TAP,Covid-19 Technology Access Pool
CT,computertomografie
CTC,cardiothoracalechirurgie
CTD,Comparative Toxicogenomics Database
CTE,chronische traumatische encefalopathie
CTEPH,Chronische trombo-embolische pulmonale hypertensie
Ctg,"college tarieven gezondheidszorg, een voormalig college van toezicht"
CTG,cardiotocograaf (weeënmonitor)
CTS,carpaletunnelsyndroom
CTX,cerebrotendineuze xanthomatose
CVA,cerebrovasculair accident
CVD,"centraal-veneuze druk, de bloeddruk in de centrale aders (centrale venen)"
CVI,"Clinical and Vaccine Immunology, een wetenschappelijk tijdschrift over microbiologie"
CVRM,cardiovasculair risicomanagement
CVS,chronischevermoeidheidssyndroom
CVZ,"College voor Zorgverzekeringen, sinds 2014 het Zorginstituut Nederland, een zelfstandig bestuursorgaan"
CWD,"chronic wasting disease, een prionziekte bij hertachtigen"
CWZ,Canisius-Wilhelmina Ziekenhuis (Nijmegen)
CZ,"CZ, voorheen Centraal Ziekenfonds, thans een handelsmerk van CZ Groep"
CZE,Catharina Ziekenhuis Eindhoven
DBC,diagnosebehandelingcombinatie
DBS,deep brain stimulation (diepe hersenstimulatie)
DC,1. decompensatio cordis (hartfalen); 2. Diagnostisch Centrum (> DC Klinieken: Diagnostisch Centrum Klinieken)
DCD,developmental coordination disorder (dyspraxie)
DEET,"diethylmetatolueenamide (DEET), een insectenwerende stof"
DEXA,Dual Energy X-ray Absorptiometry (DEXA-meting of bot-densitometrie; ook afgekort als DXA)
DGH,dringende geneeskundige hulpverlening (België)
DGU,Deutsche Gesellschaft für Unfallchirurgie
dhat,dhatsyndroom
DHD,Dutch Hospital Data
dis,dissociatieve identiteitsstoornis (meervoudige persoonlijkheidsstoornis)
DKTP,"difterie, kinkhoest, tetanus, poliomyelitis (>DKTP-vaccin)"
DLB,lewy-body-dementie
DLZ,Dijklander Ziekenhuis (Hoorn en Purmerend)
DM,diabetes mellitus
DMD,ziekte van Duchenne
DMS,Dutch Menopause Society (een werkgroep an de NVOG)
DNA,desoxyribonucleïnezuur
DON,Dwarslaesie Organisatie Nederland
DRI,dietary reference intake (aanbebevolen dagelijkse hoeveelheid); zie ook: RDA
DSM,Diagnostic and Statistical Manual of Mental Disorders
DSW,"DSW, zorgverzekeraar DSW (Delfland, Schieland, Westland)"
DUS-I,Dienst Uitvoering Subsidies aan Instellingen
DVN,Diabetesvereniging Nederland; Dunnevezelneuropathie
DXA,Dual Energy X-ray Absorptiometry (DEXA-meting of bot-densitometrie; ook afgekort als DEXA)
DZ,Deventer Ziekenhuis
EBV,Epstein-barrvirus
ECFMG,Educational Commission for Foreign Medical Graduates
ECT,elektroconvulsietherapie (elektroshock)
ECG,elektrocardiogram
ECLS,extra corporeal life support (hart-longmachine)
ECMO,extra corporeal membrane oxygenatie (Hart-longmachine)
ECTRIMS,European Committee for Treatment and Research in Multiple Sclerosis
EDS,Ehlers-Danlossyndroom (> syndroom van Ehlers-Danlos)
EEG,elektro-encefalografie
EF,eosinofiele fasciitis
EFMI,European Federation of Medical Informatics
EFLM,European Federation of Clinical Chemistry and Laboratory Medicine
EFCC,European Federation of Clinical Chemistry (thans European Federation of Clinical Chemistry and Laboratory Medicine (EFLM)
EGF,epidermische groeifactor
eGFR,"estimated glomerular filtration rate (geschatte glomerulaire filtratiesnelheid), een nierfunctietest"
EHBO,eerste hulp bij ongevallen
EIM,extra-intestinale manifestaties
EJN,European Journal of Neuroscience
EMA,European Medicines Agency (Europees Geneesmiddelenbureau)
EMDR,eye movement desensitization and reprocessing (een therapeutische behandelmethode bij PTSS)
EMEA,"European Medicines Evaluation Agency (2004-2009), thans European Medicines Agency (EMA) (Europees Geneesmiddelenbureau)"
EMG,elektromyografie
EML,"Essential Medicines List (Lijst van essentiële medicijnen, opgesteld door de Wereldgezondheidsorganisatie (WHO))"
EMV,eyes movement verbal
ENS,empty nose syndrome
EPD,elektronisch patiëntendossier
EPDS,Edinburgh postnatal depression scale
EPO,erytropoëtine
EPP,erytropoëtische protoporfyrie
ePRO,electronic Patient Reported Outcome
EPSA,European Pharmaceutical Students' Association
ER,"endoplasmatisch reticulum, een component van een dierlijke cel"
ERCP,endoscopische retrograde cholangiopancreaticografie
ERIBA,European Research Institute of the Biology of Ageing
ESBL,extended-spectrum bèta-lactamase
ESE,European Society for Endodontology
ETZ,Elisabeth-TweeSteden Ziekenhuis
FAGG,Federaal Agentschap voor Geneesmiddelen en Gezondheidsproducten (België)
FAIMER,Foundation for Advancement of International Medical Education and Research
FAP,familiaire adenomateuze polypose
FBTO,"FBTO, voorheen Friese Boeren en Tuinders Onderlinge (Zorgverzekering), thans een handelsmerk van Achmea"
FC,fibrosis cystica (taaislijmziekte)
FD,familiaire dysbètalipoproteïnemie
FDA,Food and Drug Administration
FFI,fatale familiaire insomnie
FGC,female genital cutting (Vrouwelijke genitale verminking)
FGH,familiaire gecombineerde hyperlipidemie
FMG,female genital mutilation (Vrouwelijke genitale verminking)
FH,familiaire hypercholesterolemie
FK,Farmacotherapeutisch Kompas
FL,folliculair lymfoom
FLDO,Forensisch Laboratorium voor DNA-Onderzoek (LUMC)
FMF,familiaire mediterrane koorts
fMRI,functionele MRI
FMS,Federatie Medisch Specialisten
FMT,"1. FMT Gezondheidszorg,  Facility Management Technology Gezondheidszorg; 2.  Fysio-manuele therapie (De Woldstreek (Duurswold))"
FODMAP,"fermenteerbare oligosachariden, disachariden, monosachariden en polyolen"
FOP,fibrodysplasia ossificans progressiva
FSH,follikelstimulerend hormoon
FSHD,facioscapulohumerale dystrofie
FSME,Frühsommer-Meningoenzephalitis
FTD,frontotemporale dementie
GAVI,Global Alliance for Vaccines and Immunizations
GBS,Syndroom van Guillain-Barré
GCP,Good Clinical Practice (Goede klinische praktijken)
GCS,Glasgow-comaschaal (Glasgow Coma Scale; Glasgow Coma Score)
GDNF,Glial cell line-derived neurotrophic factor
GDS,Geriatric Depression Scale
GFR,"glomerular filtration rate (glomerulaire filtratiesnelheid), een nierfunctietest"
GFSR,Groningse Farmaceutische Studenten Vereniging
GGD,Gemeentelijke gezondheidsdienst
GGT,gamma-glutamyltransferase (een enzym)
ggz,Geestelijke gezondheidszorg
GHB,gamma-hydroxyboterzuur
GHOR,Geneeskundige Hulpverleningsorganisatie in de Regio
GHRH,growth hormone-releasing hormone
GLN,Generieke Leveranciers Nederland
GOT,glutamic oxaloacetic transaminase (een enzym)
GPI,glucosephosphate isomerase (glucosefosfaatisomerase)
GPP,gegeneraliseerde pustuleuze psoriasis
GPT,glutamate pyruvate transaminase (een enzym)
GSS,Gerstmann-Sträussler-Scheinker (> Syndroom van Gerstmann-Sträussler-Scheinker)
GTT,glucosetolerantietest
GVHD,graft versus host disease (graft-versus-hostreactie)
GZ,Gezondheidszorg (> GZ-psycholoog = Gezondheidszorgpsycholoog)
Hb(A),Hemoglobine (volwassenen)
HbF,Foetaal hemoglobine
HCT,Hematocriet
HDL,High-density-lipoproteïne
HeLa,"Henrietta Lacks; HeLa-cel,  ""onsterfelijke"" cel, afstammend van baarmoederhalskankercellen van Henrietta Lacks"
HELLP,Hemolysis Elevated Liver enzymes and Low Platelets (HELPP)
HepB,Hepatitis B
HFmrEF,Heart failure with mildly reduced ejection fraction
HFpEF,Heart failure with preserved ejection fraction
HFrEF,Heart failure with reduced ejection fraction
HG,Hyperemesis gravidarum
HBB,hypothalamus-hypofyse-bijnier (> HHB-as)
Hib,Haemophilus influenzae
HIV,Humaan immunodeficiëntievirus (HIV)
HKZ,(Stichting) Harmonisatie Kwaliteitsbeoordeling in de Zorgsector (HKZ)
HL,Hodgkinlymfoom
HLA,Humaan leukocytenantigeen
HM,human milk
HMC,"Haaglanden Medisch Centrum (Westeinde, Antoniushove en Bronovo), tot 2016 Medisch Centrum Haaglanden"
HMO /hmo,human milk oligosaccharide
HMSN,Hereditaire motorische en sensorische neuropathieën
HNA,Hereditaire neuralgische amyotrofie
HNP,Hernia nuclei pulposi
HNPP,Hereditary neuropathy with liability to pressure palsies
HOCM,Hypertrofische obstructieve cardiomyopathie
HPFB,Health Products and Food Branch (Canada)
HSP,"1. hoogsensitief persoon (ook: highly sensitive person); 2. Hereditaire spastische paraparese, een spierziekte; 3. henoch-schönleinpurpura, Purpura van Henoch-Schönlein, een ontsteking van kleine bloedvaatjes"
HPV,Humaan papillomavirus
HSMR,Hospital Standardized Mortality Ratio
HSP,Hereditaire spastische paraparese
HT,Hematocriet
HVZ,Hart- en vaatziekten
IACM,Internationale Associatie voor Cannabis als Medicijn
IAOM,International Association of Orofacial Myology
IAP,instabiele angina pectoris
IARC,International Agency for Research on Cancer (Internationaal Agentschap voor Kankeronderzoek)
IARS,International Academy of Sex Research
IASP,International Association for the Study of Pain
IAT,intra-arteriële trombectomie
IBD,inflammatory bowel disease (chronische darmontstekingen)
IBS,irritable bowel syndrome (Prikkelbaredarmsyndroom)
IC,intensive care (Intensieve zorg)
ICD,implanteerbare cardioverter-defibrillator
ICD-O,International Classification of Diseases for Oncology
ICD-11,International Statistical Classification of Diseases and Related Health Problems (versie 11)
ICIN,"Interuniversitair Cardiologisch Instituut Nederland, thans Netherlands Heart Institute"
ICPC,International Classification of Primary Care
ICRC,International Committee of the Red Cross (Internationaal Comité van het Rode Kruis)
ICSI,intracytoplasmatische sperma-injectie
ICU,intensive care unit
IDIC-15,IDIC-15 isodicentrisch chromosoom 15
IDLH,Immediately Dangerous to Life or Health
IEM,in-ear monitor
IFCC,International Federation of Clinical Chemistry and Laboratory Medicine
IFFS,International Federation of Fertility Societies
IFN,interferon
IFR,infection-fatality ratio
IGJ,Inspectie Gezondheidszorg en Jeugd
IGZ,"Inspectie voor de Gezondheidszorg, in 2018 opgegaan in Inspectie Gezondheidszorg en Jeugd (IGJ)"
IGO,"infertiliteit, gynaecologie en obstetrie"
IHQC,Innovation in Health Strategy and Quality of Care (een onderzoekprogramma van het LUMC)
IKNL,Integraal Kankercentrum Nederland
IMED,International Medical Education Directory
IMSI,Intracytoplasmatisch morfologisch geselecteerde sperma-injectie
Intravacc,Instituut voor Translationele Vaccinologie
IPF,Idiopathische pulmonale fibrose
IMBG,Instituut Beleid en Management Gezondheidszorg (van de Erasmus Universiteit Rotterdam)
IRC,"Infraroodcoagulatie, een behandeling met blootstelling aan infrarood licht"
ISAO,Internationale Stichting Alzheimer Onderzoek
ISPE,International Society for Pharmaceutical Engineering
ITON,Instituut voor toegepaste neurowetenschappen
IUATLD,International Union Against Tuberculosis and Lung Disease
IUI,Intra-uteriene inseminatie
IUPHAR,International Union of Basic and Clinical Pharmacology (Internationale Unie van Basis en Klinische Farmaceutica)
IUPS,International Union of Physiological Sciences
IVC,inferior vena cava
IVF,in-vitrofertilisatie
IVLE,intraveneuze lipidenemulsie
IVM,Instituut voor Verantwoord Medicijngebruik
JAMA,Journal of the American Medical Association
JBZ,Jeroen Bosch Ziekenhuis
JMM,Journal of Medical Microbiology
JMML,juveniele myelomonocyten leukemie
JOGG,Jongeren Op Gezond Gewicht
KAGB,Koninklijke Academie voor Geneeskunde van België
KAMG,Koepel Artsen Maatschappij en Gezondheid
KCL,Klinische Chemie en Laboratoriumgeneeskunde (LUMC)
KFF,Klinische Farmacie en Farmacologie
KGCL,(Stichting) Klinisch Genetisch Centrum Leiden
KGF,keratinocytengroeifactor
KID,Kunstmatige Inseminatie Donorsperma
KIE,Kunstmatige Inseminatie Eigen semen
KJTC,Kinder- en JeugdTraumaCentrum
KLS,Syndroom van Kleine-Levin
KNCV,Koninklijke Nederlandse Centrale Vereniging ter bestrijding van tuberculose (Tuberculosefonds)
KNGF,1. Koninklijk Nederlands Geleidehonden Fonds; 2. Koninklijk Nederlands Genootschap voor Fysiotherapie
KNMG,Koninklijke Nederlandsche Maatschappij tot bevordering der Geneeskunst
KNMP,Koninklijke Nederlandse Maatschappij ter bevordering der Pharmacie
KNMT,Koninklijke Nederlandse Maatschappij tot Bevordering der Tandheelkunde
KNMvD,Koninlijke Nederlandse Maatschappij voor Diergeneeskunde
KNO,Keel-Neus-Oor(...)
KNOV,Koninklijke Nederlandse Organisatie van Verloskundigen
KNPSV,Koninklijke Nederlandse Pharmaceutische Studenten Vereniging
KOAG,Keuringsraad Openbare Aanprijzing Geneesmiddelen
KP,Kwaliteitsregister Paramedici
KRM,Kwaliteitsregister Mondhygiënisten
KRT,Kwaliteitsregister Tandartsen
KSS,Syndroom van Kearns-Sayre
KTP,(Stichting) Kennis en Toepassing Psychotraumatologie
KTS,Syndroom van Klippel-Trénaunay
KZ-syndroom,Concentratiekampsyndroom
L-CHIC,Leiden Controlled Human Infection Center
LACDR,Leiden Academic Centre for Drug Research
LAD,Landelijke vereniging van artsen in dienstverband
Lareb,Landelijke registratie evaluatie bijwerkingen (Lareb)
LASA,Longitudinal Aging Study Amsterdam (langjarige verouderingsstudie)
LAV,Leyden Academy on Vitality and Ageing
LAVA,Life and Vitality Assessment (een onderzoek van Leyden Academy on Vitality and Ageing (LAV))
LBZ,Landelijke Basisregistratie Ziekenhuiszorg
LCG,Landelijk Coördinatiecentrum Geneesmiddelen
LCH,Landelijk Consortium Hulpmiddelen
LCI,Landelijke Coördinatie Infectieziektebestrijding
LCHV,Landelijk Centrum Hygiëne en Veiligheid (een onderdeel van het Centrum Infectieziektebestrijding (CIb))
LCPL,Leids Cytologisch & Pathologisch Laboratorium (Rijswijk ZH)
LCPS,Landelijk Coördinatiecentrum Patiënten Spreiding
LD,lactaatdehydrogenase (melkzuurdehydrogenase)
LDH,lactaatdehydrogenase (melkzuurdehydrogenase)
LEEFH,(Stichting) Landelijk Expertisecentrum Erfelijkheidsonderzoek Familiaire Hart -en vaatziekten
LDL,Lagedichtheidlipoproteïne
LEMS,Lambert-Eaton myastheen syndroom
LETM,Longitudinal extensive transverse myelitis
LGMD,Limb-girdle-dystrofie
LH,Luteïniserend hormoon
LHON,Leber Hereditary Optic Neuropathy
LHV,Landelijke Huisartsen Vereniging
LIMA,left internal mammary artery
LIMSC,Leiden International (Bio)Medical Student Conference
LMD,leeftijdgebonden maculadegeneratie (zie ook: AMD)
LNAZ,Landelijk Netwerk Acute Zorg
LOI,Landelijk Overleg Infectieziektebestrijding
LOPH,Lokaal Opleidings Plan Heelkunde (LUMC)
LSH,Laboratorium voor Speciële Hematologie van het LUMC
LSHTM,London School of Hygiene and Tropical Medicine
LTT,Lactose tolerantie test
LTX,Longtransplantatie of levertransplantatie
LUMC,Leids Universitair Medisch Centrum
LUTS,"lower urinary tract symptoms (LUTS), lagere urineweg-symptomen"
LVAH,Landelijke Vereniging Assitenten Heelkunde
MAD,mandibular advancement device (snurkbeugel)
MAO,monoamino-oxydase (een verzamelnaam voor flavo-enzymen)
MAOI,monoamine oxidase inhibitor (monoamino-oxidaseremmer)
MB,multibacillair; MB lepra: multibacillaire lepra
MBB,Medische beeldvormings- en bestralingsdeskundige (een paramedische beroep)
MBBC,Macromolecular Biophysics and Biological Chemistry
MBvO,Meer Bewegen voor Ouderen
MC,Medisch Centrum
MCAT,Medical College Admission Test
MCH,"Medisch Centrum Haaglanden, thans Haaglanden Medisch Centrum (Westeinde, Antoniushove en Bronovo)"
MCI,mild cognitive impairment (lichte cognitieve stoornis)
MCL,1. Mantelcellymfoom 2. Medisch Centrum Leeuwarden
MCM,Medisch Centrum Meppel
MCTD,Mixed connective tissue disease
MD,1. Myotone dystrofie; 2. maculadegeneratie
MDMA,"3,4-methyleendioxymethamfetamine (MDMA) (een synthetische drug)"
MDPV,methyleendioxypyrovaleron (een synthetische drug)
MeCeBi,Medisch Centrum voor Biofysische Geneeskunde
MERS,Middle East respiratory syndrome
MeSH,"Medical Subject Headings, een thesaurus voor ontsluiting van medische publicaties"
METC,Medisch Ethische Toetsingscommissie
MG,Myasthenia gravis
MGE,mobile genetic element
MGUS,Monoclonal gammopathy of undetermined significance
MIS,Multisystem inflammatory syndrome
MIS-C,Multisystem inflammatory syndrome in children
MLD,1. Maag Lever Darm; 2. Metachromatische leukodystrofie
MM,Multipel myeloom (Ziekte van Kahler)
MMC,1. Maxima Medisch Centrum (een ziekenhuis in Eindhoven en Veldhoven); 2. Mungra Medisch Centrum (een ziekenhuis in Nieuw-Nickerie in Suriname)
MMSE,Mini–mental state examination (een test)
MMT,Mobiel Medisch Team (onderdeel van een traumacentrum)
MNS,Maligne neurolepticasyndroom
MOCA,Montreal Cognitive Assessment
MPS / mps,meervoudige persoonlijkheidsstoornis / multipele persoonlijkheidsstoornis (synoniem: Dissociatieve identiteitsstoornis (dis))
MRA,mandibulair repositie-apparaat (snurkbeugel)
MRC,Militair Revalidatie Centrum
MRI,Magnetic resonance imaging
MRSA,Meticilline-resistente Staphylococcus aureus
MS,Multiple sclerose
MSG,"monosodiumglutamaat (mononatriumglutamaat, een smaakversterker; synoniem: Ve-tsin of E-621)"
MSS,Syndroom van Marshall-Smith
MST,Medisch Spectrum Twente
MUG,Mobiele Urgentiegroep
MUMC+,Maastricht Universitair Medisch Centrum Plus (Maastricht UMC+)
MZL,Marginalezonelymfoom
N. X,"N. X, nervus vagus, de zwervende zenuw"
NAD,nicotinamide-adenine-dinucleotide
NADP,nicotinamide adenine dinucleotide phosphate (nicotinamide-adenine-dinucleotidefosfaat)
NAN,Nederlandse Apotheek Norm
NAM,National Academy of Medicine (US)
NCAB,Nationale Commissie Aids Bestrijding †
NCFS,Nederlandse Cystic Fibrosis Stichting (een patiëntenorganisatie)
NCSM,Nederlandse associatie voor legale cannabis en haar stoffen als medicatie
NDF,Nederlandse Diabetes Federatie
NDFB,Nederlandse Donor Feces Bank (LUMC)
NEJM,New England Journal of Medicine
NFK,Nederlandse Federatie van Kankerpatiëntenorganisaties
NFN,Nederlandse Federatie voor Nefrologie
NFU,Nederlandse Federatie van Universitair Medische Centra
NGF,nerve growth factor (zenuwgroeifactor)
NHG,Nederlands Huisartsen Genootschap
NHL,Non-hodgkinlymfoom
NHS,National Health Service (Nationale Gezondheidsdienst) (Verenigd Koninkrijk)
NIAZ,Nederlands Instituut voor Accreditatie in de Zorg
Nictiz,Nationaal ICT-Instituut in de Zorg
NIDA,National Institute on Drug Abuse (van NIH)
NIGZ,Nationaal Instituut voor Gezondheidsbevordering en Ziektepreventie
