Afkorting,Betekenis(sen)
PSP,Pacifistisch Socialistische Partij
PvdA,Partij van de Arbeid (NL)
PvdD,Partij voor de Dieren (NL)
PVV,Partij voor de Vrijheid (NL)
PVV,Partij voor Vrijheid en Vooruitgang (BE)
RA,Rijksarchief
RAF,Rote Armee Fraktion
RARA,Revolutionaire Anti-Racistische Actie
RDW,(Rijks)Dienst (voor het) Wegverkeer
RIZIV,Rijksinstituut voor Ziekte- en Invaliditeitsverzekering
RNI,Registratie Niet-Ingezetenen
RKD,Rijksbureau voor Kunsthistorische Documentatie
RKPN,Rooms Katholieke Partij Nederland
RVA,Rijksdienst voor Arbeidsvoorziening
RVD,Rijksvoorlichtingsdienst
RVV,Rijksdienst voor de keuring van Vee en Vlees (oude afkorting)
RWV,Rijksdienst voor het Wegverkeer
SEC,United States Securities and Exchange Commission
SER,"Sociaal-Economische Raad (Nederland)
Sociaal-Economische Raad (Suriname)
Sociaal-Economische Raad (Vlaanderen)"
SERV,Sociaal-Economische Raad van Vlaanderen
SGP,Staatkundig Gereformeerde Partij (NL)
SIOD,Sociale Inlichtingen en Opsporingsdienst
SIS,Sociaal Informatiesysteem
SP,Socialistische Partij (NL)
SP-a,Socialistische Partij Anders (BE)(Vlaanderen)
spirit,Sociaal Progressief Internationaal Regionalistisch Integraal-democratisch en Toekomstgericht
tbs,Terbeschikkingstelling
UNO,United Nations Organisations
U.S.A.,United States of America
UWV,Uitvoeringsinstituut Werknemersverzekeringen
VDAB,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding
VEV,Vlaams Economisch Verbond
VIM,Vlaams Instituut voor Mobiliteit
VITO,Vlaamse Instelling voor Technologisch Onderzoek
VIZO,Vlaams Instituut voor het Zelfstandig Ondernemen (opleidingsinstituten: Syntra)
VJN,Voorjaarsnota
VLAFO,Vlaams Fonds voor Sociale Integratie van Personen met een Handicap
VLD,Vlaamse Liberalen en Democraten
VLOTT,Rechts-Liberale partij in Vlaanderen
VNG,Vereniging van Nederlandse Gemeenten
VROM,"Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer"
VU,Volksunie
VVD,Volkspartij voor Vrijheid en Democratie (NL)
VVSG,Vereniging van Vlaamse steden en gemeenten
VWA,Nederlandse Voedsel- en Warenautoriteit
WVC,"Ministerie van Welzijn, Volksgezondheid en Cultuur"
Z.K.H.,Zijne Koninklijke Hoogheid
Z.M.,Zijne Majesteit
